Time(s),Velocity (kmph)
312,20.87101182
313,20.73780894
314,20.60460607
315,20.58580559
316,20.85828497
317,21.13076434
318,21.40324372
319,21.67572309
320,21.94820247
321,22.00211827
322,21.93148372
323,21.86084916
324,21.79021461
325,21.71958006
326,21.6489455
327,21.57831095
328,21.5076764
329,21.45473521
330,21.48879513
331,21.52285506
332,21.55691498
333,21.5909749
334,21.62503482
335,21.65909474
336,21.69315466
337,21.72721459
338,21.76127451
339,21.79533443
340,21.82939435
341,21.86345427
342,21.8975142
343,21.93157412
344,21.96563404
345,21.99969396
346,22.03375388
347,22.06781381
348,22.10187373
349,22.13593365
350,22.16999357
351,22.20405349
352,22.10710014
353,21.91872665
354,21.73035317
355,21.54197969
356,21.3536062
357,21.16523272
358,20.97685923
359,20.78848575
360,20.60011226
361,20.41173878
362,20.2233653
363,20.03499181
364,19.84661833
365,19.99720956
366,20.19098345
367,20.38475734
368,20.57853124
369,20.77230513
370,20.96607902
371,21.15985291
372,21.1366921
373,21.06941341
374,21.00213472
375,20.93485603
376,20.86757734
377,20.80029865
378,20.73301996
379,20.66574127
380,20.59846258
381,20.53118389
382,20.4639052
383,20.39662651
384,20.34360669
385,20.38686188
386,20.43011707
387,20.47337226
388,20.51662745
389,20.55988264
390,20.60313783
391,20.64639302
392,20.68964822
393,20.73290341
394,20.75399058
395,20.70857368
396,20.66315678
397,20.61773988
398,20.57232298
399,20.52690608
400,20.48148919
401,20.43607229
402,20.39065539
403,20.34523849
404,20.29982159
405,20.25440469
406,20.3688401
407,20.48993603
408,20.61103195
409,20.73212787
410,20.85322379
411,20.97431972
412,21.09541564
413,20.63328738
414,20.10850936
415,19.58373133
416,19.0589533
417,18.53417527
418,18.00939725
419,17.48461922
420,16.95984119
421,16.43506316
422,15.91028514
423,15.38550711
424,14.86072908
425,14.33595106
426,13.81117303
427,13.286395
428,12.76161697
429,12.23683895
430,11.71206092
431,11.18728289
432,10.66250486
433,10.13772684
434,10.32036237
435,10.75936303
436,11.1983637
437,11.63736436
438,12.07636503
439,12.51536569
440,12.95436635
441,13.39336702
442,13.83236768
443,14.27136835
444,14.71036901
445,14.87380425
446,14.69216205
447,14.51051986
448,14.32887767
449,14.21716909
450,14.36854407
451,14.51991906
452,14.67129404
453,14.82266903
454,14.97404401
455,15.00948327
456,14.95566227
457,14.90184128
458,14.84802028
459,14.79419929
460,14.74037829
461,14.68655729
462,14.6327363
463,14.5789153
464,14.52509431
465,14.47127331
466,14.41745232
467,14.36363132
468,14.45205744
469,14.56306507
470,14.67407271
471,14.78508035
472,14.89608799
473,15.00709562
474,15.11810326
475,15.2291109
476,14.96143665
477,14.11375597
478,13.26607529
479,12.41839462
480,11.57071394
481,10.72303326
482,9.875352578
483,9.027671899
484,8.179991219
485,6.869183435
486,5.521905015
487,4.174626595
488,2.827348175
489,1.480069755
490,0.756051584
491,1.618915891
492,2.481780197
493,3.344644504
494,4.20750881
495,5.070373117
496,5.933237423
497,6.79610173
498,7.658966036
499,8.521830343
500,9.384694649
501,10.24755896
502,11.11042326
503,11.97328757
504,12.83615188
505,13.69901618
506,14.56188049
507,12.2062842
508,3.794045914
509,2.939913737
510,2.611211396
511,2.282509055
512,1.953806714
513,1.625104373
514,1.296402032
515,0.967699692
516,0.638997351
517,0.31029501
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1.526214175
538,3.675811604
539,5.825409033
540,7.975006462
541,10.12460389
542,12.15640295
543,12.49371778
544,12.83103261
545,13.16834745
546,13.50566228
547,13.84297711
548,14.18029194
549,14.51760677
550,14.8549216
551,15.19223644
552,14.66045436
553,10.29994806
554,5.93944176
555,3.097693582
556,2.921093954
557,2.744494326
558,2.567894698
559,2.391295071
560,2.214695443
561,2.038095815
562,1.861496187
563,1.684896559
564,1.508296931
565,1.331697304
566,1.155097676
567,0.978498048
568,0.80189842
569,0.625298792
570,0.448699164
571,0.272099537
572,1.205318083
573,3.627824249
574,6.050330416
575,8.032913973
576,9.728275331
577,11.42363669
578,13.11899805
579,13.65265678
580,12.2167442
581,10.78083162
582,9.344919047
583,7.909006471
584,6.473093894
585,5.037181318
586,3.601268742
587,2.165356165
588,0.729443589
589,1.549437511
590,4.365139627
591,3.396364349
592,2.427589072
593,1.458813795
594,0.490038517
595,0.37258518
596,0.408912548
597,0.445239916
598,0.481567284
599,0.517894652
600,0.55422202
601,0.590549388
602,1.055288076
603,1.633908255
604,2.212528434
605,2.791148613
606,3.369768792
607,3.948388971
608,4.52700915
609,5.105629329
610,5.684249508
611,6.262869686
612,6.841489865
613,7.420110044
614,8.236431786
615,11.48585604
616,14.7352803
617,17.98470456
618,21.23412882
619,21.56724449
620,21.4057815
621,21.24431851
622,21.08285553
623,20.92139254
624,20.75992955
625,20.59846657
626,20.43700358
627,20.39270359
628,20.53398737
629,20.67527116
630,20.81655494
631,20.8096157
632,19.98212156
633,19.15462743
634,18.32713329
635,17.49963915
636,16.67214501
637,15.84465088
638,15.01715674
639,14.1896626
640,14.37837498
641,15.034394
642,15.69041302
643,16.34643203
644,17.00245105
645,17.65847007
646,18.31448909
647,18.97050811
648,19.50048612
649,19.5783354
650,19.65618468
651,19.73403396
652,19.81188324
